Time,Net Power (Watts),Flight Mode,Wind Speed (m/s),Wind Direction (NESW),Velocity m/s
1701808745.7476628,15.351721382130798,Hover,5.0,W,0.0
1701808746.9471743,244.72279473983428,Hover,5.0,W,0.47561854124069214
1701808750.167791,243.97575171700026,Hover,5.0,W,0.4941125810146332
1701808752.2250013,156.265071830427,Flight,5.0,W,3.0186588933713647
1701808757.0229979,115.988968440534,Flight,5.0,W,4.803378857698863
1701808760.2579997,177.609039203180,Flight,5.0,W,4.887263825485225
1701808763.090998,72.9261066937431,Flight,5.0,W,4.820678987079759
1701808765.2675767,136.224318921186,Flight,5.0,W,4.86267001305389
1701808766.839529,147.525391164409,Flight,5.0,W,4.849904452533923
1701808771.2845278,190.809310268810,Flight,5.0,W,4.829487161824091
1701808775.7595277,103.936957130619,Flight,5.0,W,4.805740010629609
1701808777.588041,75.2480028699465,Flight,5.0,W,4.823832950045392
1701808781.3077095,143.799671975731,Flight,5.0,W,4.808489878721943
1701808784.2558038,144.694299596349,Flight,5.0,W,4.806734424294374
1701808786.9439416,123.574426991104,Flight,5.0,W,4.806985511063099
1701808788.6129646,154.549800811306,Flight,5.0,W,4.8004485139548585
1701808790.5695655,109.675737279836,Flight,5.0,W,0.8199403149241443
1701808791.9855661,178.953055814489,Flight,5.0,W,1.4413006567431899
1701808793.4200814,178.822764826276,Flight,5.0,W,0.5257084127257947
1701808794.8681014,125.408839135059,Flight,5.0,W,0.20734780915513518
1701808796.3271232,121.330189487087,Flight,5.0,W,0.20219373036476138
1701808797.7421432,126.978057905782,Flight,5.0,W,0.01317543952429629
1701808799.1716545,121.853235003464,Flight,5.0,W,0.04822655386118122
1701808800.598679,120.278222458110,Flight,5.0,W,0.01880213548567919
1701808802.0337477,120.995038395317,Flight,5.0,W,0.006451981104629435
1701808803.482343,120.613511012283,Flight,5.0,W,0.006915349154368402
1701808804.933343,120.283733612013,Flight,5.0,W,0.0009378324106357345
1701808806.3793428,120.361988373620,Flight,5.0,W,0.0011679056332529688
1701808807.7868536,120.347499400094,Flight,5.0,W,0.0008751257065847092
1701808809.1973631,120.297463117653,Flight,5.0,W,0.0011708240404789572
1701808810.6014166,120.288720127707,Flight,5.0,W,0.0012089511413460848
1701808812.019301,120.287881168269,Flight,5.0,W,0.001214446187231277
1701808813.446808,120.287268870575,Flight,5.0,W,0.0012146286433102782
