Time,Power (Watts),Flight Mode,Wind Speed (m/s),Wind Direction (NESW),Velocity m/s
1701738160.5356386,47.23426202943014,Hover,1.0,W,1.984606933547184e-05
1701738161.5782712,48.4068986801236,Flight,1.0,W,1.5822545707591065
1701738162.8553264,37.1105097655484,Flight,1.0,W,3.438424014341922
1701738164.0253515,28.2053581721937,Flight,1.0,W,6.751375748033207
1701738165.2063806,34.4270862145743,Flight,1.0,W,4.862002855744314
1701738166.4523816,15.3989423414880,Flight,1.0,W,1.6352021472541987
1701738167.6133814,26.1647255645441,Flight,1.0,W,0.9691296513010873
1701738168.7153816,29.3916747300822,Flight,1.0,W,0.652211264507873
1701738169.955381,23.9911503218500,Flight,1.0,W,0.40413143297828474
1701738171.0883784,23.9339752769901,Flight,1.0,W,0.6035025060144698
1701738172.338424,24.4150036883878,Flight,1.0,W,0.3285401039339581
1701738173.5694246,23.7858300296915,Flight,1.0,W,0.27176311315962043
1701738174.8434205,27.1291336205448,Flight,1.0,W,0.4459711406600608
1701738176.0489388,23.9743015346748,Flight,1.0,W,0.5438698001972047
1701738177.2899392,23.7676358465067,Flight,1.0,W,0.4523601107543641
1701738178.549377,23.1193795315767,Flight,1.0,W,0.26262211910878697
1701738179.6903796,17.7381572111598,Flight,1.0,W,0.059272508990659764
1701738180.801898,22.7155991007041,Flight,1.0,W,0.08743242370843543
1701738181.9964747,23.1746043948313,Flight,1.0,W,0.08336442542367678
1701738183.1194742,20.2349744756666,Flight,1.0,W,0.0872208221805577
1701738184.295983,16.9405489607219,Flight,1.0,W,0.03163504310262298
1701738185.5749886,23.0678544034195,Flight,1.0,W,0.07505671967217083
1701738186.7369835,23.7487732057545,Flight,1.0,W,0.050560943431906896
1701738187.8439865,24.8217104572923,Flight,1.0,W,0.018434091029090452
1701738189.1929817,26.0592131609911,Flight,1.0,W,0.04384491662015377
1701738190.3799856,21.5613356758276,Flight,1.0,W,0.073933873656538
1701738191.6009843,21.0578427497706,Flight,1.0,W,0.07117042054310237
1701738192.7259827,29.0872889753089,Flight,1.0,W,0.06637796207251688
1701738193.9919853,23.1785552864813,Flight,1.0,W,0.05973022671764642
1701738195.215984,25.3746479660178,Flight,1.0,W,0.017181170119396325
1701738196.3469822,20.4670469661768,Flight,1.0,W,0.06936241912086245
1701738197.5724993,17.3345781978817,Flight,1.0,W,0.02442710380943372
1701738198.6950073,23.1869729706602,Flight,1.0,W,0.043706401069758226
1701738199.9300065,25.8878074371421,Flight,1.0,W,0.02522249546838617
