Time,Power (Watts),Flight Mode,Wind Speed (m/s),Wind Direction (NESW),Velocity m/s
1701753271.081659,139.54403238139113,Hover,1.0,W,0.00017421743541490287
1701753272.139716,136.994990307258,Flight,1.0,W,1.7007034480985357
1701753273.6512544,120.082029702251,Flight,1.0,W,4.787804551199069
1701753274.94229,101.717321990963,Flight,1.0,W,4.339225775591048
1701753276.2712889,26.9427179831421,Flight,1.0,W,2.2456699950136945
1701753277.635291,81.0894537632648,Flight,1.0,W,1.571914564826912
1701753279.3512905,62.0065996580434,Flight,1.0,W,0.8614259321130365
1701753280.6652915,65.4448523755741,Flight,1.0,W,0.8374140596153318
1701753281.9512906,74.0478506711982,Flight,1.0,W,1.614465222601565
1701753283.333291,71.9950157919130,Flight,1.0,W,1.0830067564407106
1701753284.7133157,77.4057917799820,Flight,1.0,W,2.7570370034851566
1701753286.1213152,55.3539819754493,Flight,1.0,W,1.9202369219002735
1701753287.4323468,66.6869157049815,Flight,1.0,W,1.0266278227797474
1701753288.8043773,60.0981490277210,Flight,1.0,W,0.10993057790697625
1701753290.2089725,84.1275156531761,Flight,1.0,W,0.031168044999789344
