Time,Power (Watts),Flight Mode,Wind Speed (m/s),Wind Direction (NESW),Velocity m/s
1701633973,47.26984146,Hover,1,W,3.46E-05
1701633974,17.0441486,Hover,1,W,1.625072002
1701633976,103.3328051,Hover,1,W,1.303946495
1701633977,16.98585233,Hover,1,W,0.428544432
1701633978,103.3046718,Hover,1,W,0.645343482
1701633979,17.05792945,Hover,1,W,1.760429621
1701633980,16.99339053,Hover,1,W,0.776328146
1701633981,103.2970775,Hover,1,W,0.035390645
1701633982,17.00274298,Hover,1,W,1.026433468
1701633983,17.00183535,Hover,1,W,1.007402539
1701633984,103.3119939,Hover,1,W,0.870554268
1701633985,103.2995266,Hover,1,W,0.304083675
1701633986,103.3188875,Hover,1,W,1.033109069
1701633987,102.8418053,Hover,1,W,1.251965642
1701633988,103.3130978,Hover,1,W,0.936101973
1701633989,58.02890898,Hover,1,W,1.167989016
1701633990,16.99897893,Hover,1,W,0.940583348
1701633991,16.99399403,Hover,1,W,0.799743712
1701633992,103.3373417,Hover,1,W,1.349344373
