Time,Power (Watts),Flight Mode,Wind Speed (m/s),Wind Direction (NESW),Velocity m/s
1701634567.6740987,47.27796611959117,Hover,1.0,W,3.92607762478292e-05
1701634568.715641,17.964362742060935,Hover,1.0,W,1.8309589624404907
1701634569.7461867,103.29937693810663,Hover,1.0,W,0.3084765076637268
1701634570.775221,17.00834664983442,Hover,1.0,W,1.1400365829467773
1701634571.8299246,16.984089992982497,Hover,1.0,W,0.30353668332099915
1701634572.8700302,90.30842205764606,Hover,1.0,W,1.9308456182479858
1701634573.9191632,103.31890128841827,Hover,1.0,W,1.0540549755096436
1701634574.9641643,16.98668960855775,Hover,1.0,W,0.4922008514404297
1701634576.0021956,17.402559096476388,Hover,1.0,W,2.084359645843506
1701634577.0431957,103.37110425134036,Hover,1.0,W,1.7393288612365723
1701634578.0881963,16.983122870932885,Hover,1.0,W,0.1473774015903473
1701634579.1341963,103.34528385973113,Hover,1.0,W,1.4615603685379028
1701634580.1771953,86.65831136552669,Hover,1.0,W,1.2879199981689453
1701634581.263195,16.9927127410892,Hover,1.0,W,0.7568472623825073
1701634582.2931952,17.049045208255656,Hover,1.0,W,1.676023006439209
1701634583.3311954,103.3033654416795,Hover,1.0,W,0.5992958545684814
1701634584.385195,16.993747963903004,Hover,1.0,W,0.7886592149734497
1701634585.4261951,17.006178547031404,Hover,1.0,W,1.0990296602249146
1701634586.4801946,103.29838150056594,Hover,1.0,W,0.2687872648239136
1701634587.5351958,17.019338108827785,Hover,1.0,W,1.3209165334701538
1701634588.5841968,17.01597682320559,Hover,1.0,W,1.2703115940093994
